"","JMBAG","Predavanja","Labos","Status","Broj.ponavljanja","Rang.matura","Srednja.škola","Spol","Dvorana","Pitanje.1","Pitanje.2","Pitanje.3","Pitanje.4","Pitanje.5","Pitanje.6","Pitanje.7","Pitanje.8","Pitanje.9","Pitanje.10","Broj.bodova"
"1","hbfmwezdgv",1.03,"1.01-22","redoviti",NA,13,"gimnazija","M","A111","E","D","B","C","A","A","E","A","C","B",26
"2","furomvcsda",1.02,"1.01-12","redoviti",NA,NA,"gimnazija","M","A111","E","D","B","C","A","A","E","A","C","B",26
"3","swdfgoepjl",1.05,"1.01-02","redoviti",NA,NA,"","M","A111","E","D","B","C","A","A","E","A","C","B",26
"4","xabzdhsqnu",1.01,"1.01-04","redoviti",NA,192,"tehni?ka","M","A201","E","D","B","C","A","A","E","A","C","B",26
"5","nmxertvyds",1.01,"1.01-05","redoviti",NA,NA,"","M","A201","E","D","B","C","A","A","E","A","C","B",26
"6","rtsqjpcobx",1.07,"1.01-09","redoviti",NA,NA,"","M","A201","E","D","B","C","A","A","E","A","C","B",26
"7","imoucpndvl",1.08,"1.01-26","redoviti",NA,NA,"gimnazija","M","A201","E","D","B","C","A","A","E","A","C","B",26
"8","fcjzsqelvh",1.01,"1.01-07","redoviti",NA,NA,"","M","A202","E","D","B","C","A","A","E","A","C","B",26
"9","ocglejbfik",1.02,"1.01-13","redoviti",NA,NA,"gimnazija","M","A202","E","D","B","C","A","A","E","A","C","B",26
"10","grhcbukmoi",1.03,"1.01-05","redoviti",NA,15,"gimnazija","F","A202","E","D","B","C","A","A","E","A","C","B",26
"11","tibwaplqvs",1.04,"1.01-30","redoviti",NA,NA,"gimnazija","M","A209","E","D","B","C","A","A","E","A","C","B",26
"12","ghazeitqdy",1.08,"1.01-26","redoviti",NA,NA,"","M","A209","E","D","B","C","A","A","E","A","C","B",26
"13","zimauovnpq",1.05,"1.01-01","redoviti",NA,NA,"","M","A211","E","D","B","C","A","A","E","A","C","B",26
"14","umozhrntlk",1.08,"1.01-32","redoviti",NA,30,"gimnazija","M","A211","E","D","B","C","A","A","E","A","C","B",26
